Account_Number,Account_Name,Account_Type,Account_Subtype,Tax_Line,Description
1010,Cash — Operating Checking,Asset,Current Asset,Schedule L Line 1,Primary checking
1020,Cash — Savings,Asset,Current Asset,Schedule L Line 1,Reserves
1030,Cash — Payroll,Asset,Current Asset,Schedule L Line 1,Payroll funding
1040,Petty Cash,Asset,Current Asset,Schedule L Line 1,Petty cash
1100,Accounts Receivable,Asset,Current Asset,Schedule L Line 2a,Customer invoices outstanding
1110,AR — Allowance for Doubtful Accounts,Asset,Current Asset,Schedule L Line 2b,Bad debt allowance
1120,Notes Receivable — Customer Financing,Asset,Current Asset,Schedule L Line 4,Customer notes (if extending credit)
1200,Inventory — Raw Materials,Asset,Current Asset,Schedule L Line 3,Raw materials inventory
1210,Inventory — Work in Process (WIP),Asset,Current Asset,Schedule L Line 3,Partially completed goods
1220,Inventory — Finished Goods,Asset,Current Asset,Schedule L Line 3,Completed goods awaiting sale
1230,Inventory — Spare Parts/MRO,Asset,Current Asset,Schedule L Line 3,Maintenance/repair/operating supplies
1240,Inventory — Reserve for Obsolescence,Asset,Current Asset,Schedule L Line 3,Allowance for obsolete inventory (contra)
1300,Prepaid Expenses,Asset,Current Asset,Schedule L Line 6,General prepaid
1310,Prepaid Insurance,Asset,Current Asset,Schedule L Line 6,Insurance prepaid
1320,Prepaid Rent,Asset,Current Asset,Schedule L Line 6,Facility rent prepaid
1330,Prepaid Materials Deposits,Asset,Current Asset,Schedule L Line 6,Vendor deposits
1500,Land,Asset,Fixed Asset,Schedule L Line 11,Land owned (NOT depreciated)
1510,Buildings,Asset,Fixed Asset,Schedule L Line 10a,Manufacturing facility
1520,Machinery and Equipment — Production,Asset,Fixed Asset,Schedule L Line 10a,Production machinery
1530,Equipment — Tools and Dies,Asset,Fixed Asset,Schedule L Line 10a,Specialized tooling
1540,Equipment — Material Handling,Asset,Fixed Asset,Schedule L Line 10a,Forklifts/conveyors
1550,Equipment — Office,Asset,Fixed Asset,Schedule L Line 10a,Office equipment
1560,Vehicles — Delivery,Asset,Fixed Asset,Schedule L Line 10a,Delivery trucks
1570,Computer Equipment,Asset,Fixed Asset,Schedule L Line 10a,Computers + servers
1580,Leasehold Improvements,Asset,Fixed Asset,Schedule L Line 10a,Facility buildouts
1590,Accumulated Depreciation,Asset,Accumulated Depreciation,Schedule L Line 10b,Total depreciation (contra)
1700,Security Deposits,Asset,Other Asset,Schedule L Line 13,Lease/utility deposits
1710,Patents and Intellectual Property,Asset,Intangible Asset,Schedule L Line 12,Patents owned (capitalized)
1720,Capitalized Software (Internal Use),Asset,Intangible Asset,Schedule L Line 12,ERP/MRP software capitalized
2010,Accounts Payable — Material Vendors,Liability,Current Liability,Schedule L Line 16,Raw material supplier invoices
2020,Accounts Payable — Other,Liability,Current Liability,Schedule L Line 16,Other vendor invoices
