Account_Number,Account_Name,Account_Type,Account_Subtype,Tax_Line,Description
1010,Cash — Operating Checking,Asset,Current Asset,Schedule L Line 1,Primary checking
1020,Cash — Savings,Asset,Current Asset,Schedule L Line 1,Reserves
1030,Cash — Payroll,Asset,Current Asset,Schedule L Line 1,Payroll funding
1100,Accounts Receivable,Asset,Current Asset,Schedule L Line 2a,Customer invoices outstanding
1110,AR — Allowance for Doubtful Accounts,Asset,Current Asset,Schedule L Line 2b,Bad debt allowance
1120,Stripe Pending Payouts,Asset,Current Asset,Schedule L Line 1,Stripe pending settlement
1130,Unbilled Receivables (Accrued Revenue),Asset,Current Asset,Schedule L Line 2a,Revenue earned not yet billed
1200,Prepaid Expenses,Asset,Current Asset,Schedule L Line 6,General prepaid
1210,Prepaid Insurance,Asset,Current Asset,Schedule L Line 6,Insurance prepaid
1220,Prepaid Software/SaaS Tools,Asset,Current Asset,Schedule L Line 6,Annual SaaS subscriptions prepaid
1230,Prepaid Cloud Hosting (AWS/GCP/Azure),Asset,Current Asset,Schedule L Line 6,Reserved instances/committed spend
1240,Prepaid Marketing Campaigns,Asset,Current Asset,Schedule L Line 6,Annual ad commitments
1300,Sales Commissions Asset (ASC 606),Asset,Current Asset,Schedule L Line 6,Capitalized commissions per ASC 606
1500,Computer Equipment,Asset,Fixed Asset,Schedule L Line 10a,Laptops/servers
1510,Office Equipment,Asset,Fixed Asset,Schedule L Line 10a,Office equipment
1520,Furniture and Fixtures,Asset,Fixed Asset,Schedule L Line 10a,Office furniture
1530,Leasehold Improvements,Asset,Fixed Asset,Schedule L Line 10a,Office buildouts
1590,Accumulated Depreciation,Asset,Accumulated Depreciation,Schedule L Line 10b,Total depreciation (contra)
1700,Security Deposits,Asset,Other Asset,Schedule L Line 13,Office lease deposit
1710,Capitalized Software Development,Asset,Intangible Asset,Schedule L Line 12,Internal software dev costs (post-feasibility)
1720,Capitalized Software Amortization,Asset,Intangible Asset,Schedule L Line 12,Amortization of capitalized software (contra)
1730,Acquired Customer Intangibles,Asset,Intangible Asset,Schedule L Line 12,Customer relationship intangibles (M&A)
1740,Goodwill,Asset,Intangible Asset,Schedule L Line 12,Goodwill from acquisitions
2010,Accounts Payable,Liability,Current Liability,Schedule L Line 16,Vendor invoices outstanding
2100,Credit Card Payable,Liability,Current Liability,Schedule L Line 17,Credit card balance
2200,Accrued Expenses,Liability,Current Liability,Schedule L Line 17,Accrued expenses
2210,Accrued Salaries and Wages,Liability,Current Liability,Schedule L Line 17,Wages earned not yet paid
2220,Accrued Bonuses,Liability,Current Liability,Schedule L Line 17,Performance bonuses earned
2230,Accrued Vacation/PTO,Liability,Current Liability,Schedule L Line 17,Accrued PTO
2240,Accrued Sales Commissions,Liability,Current Liability,Schedule L Line 17,Sales commissions owed
2300,Payroll Liabilities,Liability,Current Liability,Schedule L Line 17,Withheld payroll taxes
