Account_Number,Account_Name,Account_Type,Account_Subtype,Tax_Line,Description
1010,Cash — Operating Checking,Asset,Current Asset,Schedule L Line 1,Primary checking
1020,Cash — Savings,Asset,Current Asset,Schedule L Line 1,Tax + reserve
1030,Cash — Payroll,Asset,Current Asset,Schedule L Line 1,Payroll funding
1040,Petty Cash — Bar/Float,Asset,Current Asset,Schedule L Line 1,Cash drawers
1050,Cash — Merchant Pending,Asset,Current Asset,Schedule L Line 1,Stripe/Toast pending settlement
1060,Cash — Tips Held,Asset,Current Asset,Schedule L Line 1,Pooled tips awaiting distribution
1100,Accounts Receivable — Catering,Asset,Current Asset,Schedule L Line 2a,Catering invoices outstanding
1200,Inventory — Food,Asset,Current Asset,Schedule L Line 3,Food inventory on hand
1210,Inventory — Beverage (Non-Alcohol),Asset,Current Asset,Schedule L Line 3,Soft drinks/coffee/etc.
1220,Inventory — Beer,Asset,Current Asset,Schedule L Line 3,Beer inventory
1230,Inventory — Wine,Asset,Current Asset,Schedule L Line 3,Wine inventory
1240,Inventory — Spirits,Asset,Current Asset,Schedule L Line 3,Liquor inventory
1250,Inventory — Smallwares/Disposables,Asset,Current Asset,Schedule L Line 3,Plates/utensils/napkins/togo
1260,Inventory — Cleaning Supplies,Asset,Current Asset,Schedule L Line 3,Cleaning supplies
1300,Prepaid Expenses,Asset,Current Asset,Schedule L Line 6,General prepaid
1310,Prepaid Insurance,Asset,Current Asset,Schedule L Line 6,Insurance prepaid
1320,Prepaid Rent,Asset,Current Asset,Schedule L Line 6,Restaurant rent prepaid
1330,Prepaid Liquor License,Asset,Current Asset,Schedule L Line 6,Liquor license fees prepaid
1500,Furniture and Fixtures,Asset,Fixed Asset,Schedule L Line 10a,Tables/chairs/booths
1510,Kitchen Equipment,Asset,Fixed Asset,Schedule L Line 10a,Ovens/grills/refrigeration
1520,Bar Equipment,Asset,Fixed Asset,Schedule L Line 10a,Bar tools/refrigeration/draft
1530,POS Equipment,Asset,Fixed Asset,Schedule L Line 10a,POS terminals
1540,Leasehold Improvements,Asset,Fixed Asset,Schedule L Line 10a,Buildouts/dining room
1590,Accumulated Depreciation,Asset,Accumulated Depreciation,Schedule L Line 10b,Total depreciation (contra)
1700,Security Deposits,Asset,Other Asset,Schedule L Line 13,Lease/utility deposits
1710,Liquor License,Asset,Intangible Asset,Schedule L Line 12,Liquor license (capitalized)
2010,Accounts Payable — Food Vendors,Liability,Current Liability,Schedule L Line 16,Food supplier invoices
2020,Accounts Payable — Beverage Vendors,Liability,Current Liability,Schedule L Line 16,Bev supplier invoices
2030,Accounts Payable — Other,Liability,Current Liability,Schedule L Line 16,Other vendor invoices
2100,Credit Card Payable,Liability,Current Liability,Schedule L Line 17,Credit card balance
2200,Accrued Expenses,Liability,Current Liability,Schedule L Line 17,Accrued expenses
2210,Accrued Salaries and Wages,Liability,Current Liability,Schedule L Line 17,Wages earned not yet paid
2220,Tips Payable to Employees,Liability,Current Liability,Schedule L Line 17,Pooled tips owed to staff
2230,Accrued Vacation/PTO,Liability,Current Liability,Schedule L Line 17,Accrued PTO
2300,Payroll Liabilities,Liability,Current Liability,Schedule L Line 17,Withheld payroll taxes
2310,Federal Income Tax Withheld,Liability,Current Liability,,Federal income tax withholding
2320,FICA Withheld (Employee),Liability,Current Liability,,FICA employee
2330,FICA Payable (Employer),Liability,Current Liability,,Employer FICA
2335,FICA Tip Credit,Liability,Current Liability,,Section 45B FICA tip credit calculation
2340,State Income Tax Withheld,Liability,Current Liability,,State withholding
2350,State Unemployment Tax,Liability,Current Liability,,SUI/SUTA
2360,Federal Unemployment Tax,Liability,Current Liability,,FUTA
2400,Sales Tax Payable,Liability,Current Liability,Schedule L Line 17,Sales tax collected
2410,Liquor Tax Payable,Liability,Current Liability,,Excise tax on liquor sales (state-specific)
2420,Meals Tax Payable,Liability,Current Liability,,Boston/state meals tax (where applicable)
2500,Income Tax Payable,Liability,Current Liability,Schedule L Line 17,Income tax owed
2600,Notes Payable — Short-term,Liability,Current Liability,Schedule L Line 18,Short-term loans
2700,Customer Deposits — Catering,Liability,Current Liability,Schedule L Line 17,Catering deposits received
2710,Gift Cards Outstanding,Liability,Current Liability,Schedule L Line 17,Unredeemed gift cards
2800,Notes Payable — Long-term,Liability,Long-term Liability,Schedule L Line 20,Long-term loans
3010,Common Stock,Equity,Common Stock,Schedule L Line 22,Par value
3020,Additional Paid-in Capital,Equity,Additional Paid-in Capital,Schedule L Line 23,APIC
3030,Retained Earnings,Equity,Retained Earnings,Schedule L Line 25,Retained profits
3040,Distributions,Equity,Distributions,Schedule M-2,Owner distributions
3050,Owner's Capital,Equity,Owner's Equity,,Sole prop / LLC-single
3060,Owner's Drawing,Equity,Owner's Equity,,Sole prop / LLC-single draws
4010,Sales — Food (Dine-in),Revenue,Product Revenue,Form 1120 Line 1a,Dine-in food
4020,Sales — Food (Takeout/Delivery),Revenue,Product Revenue,Form 1120 Line 1a,Takeout + delivery food
4030,Sales — Beverage (Non-Alcohol),Revenue,Product Revenue,Form 1120 Line 1a,Soft drinks/coffee
4040,Sales — Beer,Revenue,Product Revenue,Form 1120 Line 1a,Beer sales
4050,Sales — Wine,Revenue,Product Revenue,Form 1120 Line 1a,Wine sales
4060,Sales — Spirits/Cocktails,Revenue,Product Revenue,Form 1120 Line 1a,Liquor + cocktail sales
4070,Sales — Catering,Revenue,Product Revenue,Form 1120 Line 1a,Catering revenue
4080,Sales — Merchandise,Revenue,Product Revenue,Form 1120 Line 1a,Branded merch (t-shirts/etc.)
4085,Sales — Gift Cards Redeemed,Revenue,Product Revenue,Form 1120 Line 1a,Gift card redemption
4090,Sales Returns and Comps,Revenue,Product Revenue,Form 1120 Line 1b,Comps/voids/refunds (contra)
4095,Discounts and Promotions,Revenue,Product Revenue,Form 1120 Line 1b,Promotional discounts (contra)
5010,COGS — Food Cost,COGS,Cost of Goods Sold,Form 1120 Line 2,Food cost (track to ~28-32% of food sales)
5020,COGS — Beverage Cost (Non-Alcohol),COGS,Cost of Goods Sold,Form 1120 Line 2,Bev cost (track to ~15-20%)
5030,COGS — Beer Cost,COGS,Cost of Goods Sold,Form 1120 Line 2,Beer cost (track to ~25-30%)
5040,COGS — Wine Cost,COGS,Cost of Goods Sold,Form 1120 Line 2,Wine cost (track to ~30-35%)
5050,COGS — Spirits Cost,COGS,Cost of Goods Sold,Form 1120 Line 2,Liquor cost (track to ~18-22%)
5060,COGS — Smallwares/Disposables,COGS,Cost of Goods Sold,Form 1120 Line 2,Disposable items
5070,Inventory Adjustments — Waste,COGS,Cost of Goods Sold,Form 1120 Line 2,Food/bev waste
5080,Inventory Adjustments — Comps/Spoilage,COGS,Cost of Goods Sold,Form 1120 Line 2,Comp meals + spoilage
5090,Delivery Platform Fees,COGS,Cost of Goods Sold,Form 1120 Line 2,DoorDash/UberEats commissions
6010,Salaries and Wages — Kitchen (BOH),Expense,Salaries and Wages,Form 1120 Line 13,Back-of-house wages
6020,Salaries and Wages — FOH/Service,Expense,Salaries and Wages,Form 1120 Line 13,Front-of-house wages
6030,Salaries and Wages — Management,Expense,Salaries and Wages,Form 1120 Line 13,Manager salaries
6040,Officer Compensation,Expense,Salaries and Wages,Form 1120 Line 12,Owner-employee W-2
6050,Payroll Tax Expense,Expense,Salaries and Wages,Form 1120 Line 17,Employer payroll taxes (less FICA tip credit)
6060,Employee Benefits,Expense,Salaries and Wages,Form 1120 Line 24,Health/dental/etc.
6070,Employee Meals,Expense,Salaries and Wages,Form 1120 Line 26,Staff meals (de minimis fringe benefit)
6100,Rent — Restaurant Space,Expense,Rent,Form 1120 Line 16,Restaurant rent
6110,Rent — Equipment,Expense,Rent,Form 1120 Line 16,Equipment leases
6200,Utilities,Expense,Utilities,Form 1120 Line 26,Electricity/gas/water (high in restaurants)
6210,Telephone and Internet,Expense,Utilities,Form 1120 Line 26,Phone + internet
6300,Office Supplies,Expense,Office Expense,Form 1120 Line 26,Office supplies
6310,Software and Subscriptions,Expense,Office Expense,Form 1120 Line 26,POS/inventory/scheduling
6320,Cleaning and Sanitation,Expense,Office Expense,Form 1120 Line 26,Cleaning supplies + services
6330,Linens and Uniforms,Expense,Office Expense,Form 1120 Line 26,Tablecloth/towel/uniform laundering
6400,Professional Services,Expense,Professional Services,Form 1120 Line 26,Legal/accounting
6410,Health Department Permits/Fees,Expense,Other Operating Expense,Form 1120 Line 26,Health inspection fees
6420,Liquor License Renewal,Expense,Other Operating Expense,Form 1120 Line 26,Annual liquor license
6500,Marketing and Advertising,Expense,Marketing,Form 1120 Line 22,Ads/social media
6510,Loyalty Program Costs,Expense,Marketing,Form 1120 Line 22,Loyalty program platform/rewards cost
6600,Travel,Expense,Travel and Meals,Form 1120 Line 26,Industry conferences
6610,Owner Meals (Business),Expense,Travel and Meals,Form 1120 Line 26,Business meals (50% deductible)
6700,Insurance — General Liability,Expense,Insurance,Form 1120 Line 18,GL insurance
6710,Insurance — Workers' Comp,Expense,Insurance,Form 1120 Line 18,Workers' comp (high for restaurants)
6720,Insurance — Liquor Liability,Expense,Insurance,Form 1120 Line 18,Liquor liability (Dram Shop)
6730,Insurance — Property,Expense,Insurance,Form 1120 Line 18,Property/equipment coverage
6800,Bank Fees,Expense,Other Operating Expense,Form 1120 Line 26,Bank charges
6810,Credit Card Processing Fees,Expense,Other Operating Expense,Form 1120 Line 26,Merchant fees (3-4% major cost)
6820,Repairs and Maintenance,Expense,Other Operating Expense,Form 1120 Line 8,Equipment repairs
6830,Pest Control,Expense,Other Operating Expense,Form 1120 Line 26,Mandatory pest control
6840,Garbage and Grease Disposal,Expense,Other Operating Expense,Form 1120 Line 26,Waste removal services
6850,Depreciation Expense,Expense,Depreciation,Form 1120 Line 20,Annual depreciation
6900,Other Operating Expenses,Expense,Other Operating Expense,Form 1120 Line 26,Catch-all
7010,Interest Income,Other_Income,Interest Income,Form 1120 Line 5,Bank interest
7020,Other Income — Vendor Rebates,Other_Income,Other Operating Expense,Form 1120 Line 10,Vendor rebates/discounts
7100,Interest Expense,Other_Expense,Interest Expense,Form 1120 Line 18,Loan interest
7200,Federal Income Tax Expense,Other_Expense,Tax Expense,Form 1120 Line 31,Federal tax
7210,State Income Tax Expense,Other_Expense,Tax Expense,Form 1120 Line 17,State tax
7220,State Franchise Tax,Other_Expense,Tax Expense,Form 1120 Line 17,Franchise tax
